text,label
"Large Pothole near main road",safe
"My phone number is 9870123456",sensitive
"Streetlight not workingin Gaothan",safe
"email id : test@example.com",sensitive
"Graffiti on the wall of the community center",safe
"Contact me at 123-456-7890 for more info",sensitive
"Broken bench in the park",safe
"Visit my website at www.example.com",sensitive
"Address is 402,yogi ashram, yogi nagar, borivali west",sensitive
"Overflowing trash bins on JM Road",safe
"Text at +91 9850387539 for details",sensitive
"Need a friend contact me at +91 9850387539",sensitive
"Ruchir Kalokhe is on a trip to Rajasthan",sensitive
"Fallen tree blocking the sidewalk",safe
"Call me at (123) 456-7890",sensitive
"atharva nivatkar lives in borivali west",sensitive
"Hooligans creating disturbance near the mall",safe
"Road reflectors not installed properly",safe
"Inspector Patil is asking for bribes",sensitive
"Footpath encroachment near market area",safe
"Footpath damaged near shivajinagar park",safe
"My office number is 022-12345678",sensitive
"Accident caused by broken traffic signal",safe
"Leaking water pipe on MG Road",safe
"Water supply issues in sector 5",safe
"Police harassment at night",safe
"MLA Rajest Kumar is involved in corruption",sensitive
"Unauthorized construction in residential area",safe
"Street vendor selling without a license",safe
"OM Shanti travel agency contact number is 9988776655",sensitive
"Overgrown bushes blocking the sidewalk",safe
"Noise pollution from nearby factory",safe
"Dr. Sharma's clinic is located at B-10, Gokhale Nagar, Pune",sensitive
"Illegal dumping of waste in park",safe
"Traffic congestion on main highway",safe
"Call 1800-123-456 for complaints",sensitive
"Faded road markings causing confusion",safe
"Road dividers missinfg on expressway",safe
"For JEE admissions contact 9876543210",sensitive
"Street cleaning needed in residential area",safe
"Hygiene issues in public government toilets",safe
"Mr. Singh from Delhi Police Station called me yesterday",sensitive
"Ruchir is single and looking for a partner",sensitive
"Political posters put up illegally",safe
"Birthday wish posters installed without permission",safe
"test @ gmail . com is my email",sensitive
"Mr rakesh from andheri called me",sensitive
"Power outage after heavy rains",safe
"Waterlogging on main road during rains",safe
"Unauthorized parking in no-parking zone",safe
"Street vendor contact: 9123456780",sensitive
"Passport office asking for a bribe",safe 
"Karykartas are forcing people to vote for their party",safe
"Graffiti on public property",safe
"Illegal billboard with contact number 9988776655",sensitive
"Fallen tree branches blocking the road",safe
"Government workers demanding money for services",safe
"Naked wires hanging above the footpath",safe 
"Contact number for complaints: 1800-111-222",sensitive
"Broken traffic signal at junction",safe
"Unauthorized construction near heritage site",safe
"Faulty eletricity meter readings",safe
"Dr. Mehta's clinic number is 022-7654321",sensitive
"Streetlight flickering on the main road",safe
"Mosque loudspeakers causing noise",safe
"Dengue outbreak in locality",safe
"Chicken biryani home delivery contact 9988776655",sensitive
"Footpaths blocked by street vendors",safe
"Workers working in unsafe conditions",safe
"Contruction sites creating dust pollution",safe
'Construction site causing noise at night',safe
"Construction needed? Contact 9847568383",sensitive
"Drinking water contaminated in area",safe
"Unauthorized sale of alcohol in locality",safe
"Email me at ath@yahoo.in",sensitive
"prakash jadhav from dindoshi is a fraud",sensitive
"Train delayed by 2 hours in Central local",safe
"Concert outside allowed hours causing disturbance",safe
"How can a guy like Ruchir get a girlfriend?",sensitive
"Street vendor selling expired food",safe
"Food grading issues in local eateries",safe
"FDA not doing their job properly",safe
"COllege admissions open for 2024, contact 9876543210",sensitive
'College admission taken on the basis of money',safe
"Government hospital staff behaving rudely",safe
"VIP convoys caused major delays on FC road today",safe
"advertisement boards with contact 9123456780",sensitive
"Broken water hydrant leaking water",safe
"Overflowing sewage in residential area",safe
"BMC is sleeping",safe
"Health inspector demanding bribe for clearance",safe
"Health inspector Rekha Yadav should be suspended",sensitive
"RTO giving away licenses without proper tests",safe
"Traffic police stoppigng vehicles without reason",safe
"Government official Ajay Kumar involved in scam",sensitive
"Hospital bills are being inflated deliberately",safe
"Cinema hall not following safety protocols",safe
"Police officer Vikram Singh demanding money",sensitive
"Police confiscated my license without reason",safe
"Fraudulent loan offered by this bank",safe
"Fake investment scheme being promoted",safe
"Garba night event contact 9988776655",sensitive
"Event still playing music on loud speakers after 10 PM",safe
"Food offered in government canteen is stale",safe
"District collector's office contact number is 022-33445566",sensitive
"Divorce court proceedings delayed unnecessarily",safe
"Unauthorized use of public land for private events",safe
"Illegal mining activities in the area",safe
"Party orders taken at 9988776655",sensitive
"Waste of taxpayer money digging roads again and again",safe
"Taxi mafia demanding extra charges",safe
"Corrupt officials taking bribes for permits",safe
"Fake charity organizations collecting money",safe
"Fake job offers being circulated",safe
"Call 1800-222-333 for job application",sensitive\
"Shreyas Upadhye 9873021234 is looking for a job",sensitive
"9871023987 is my contact number",sensitive
"87694289384 is the number to reach me",sensitive
'Contact 9988776655 for more details',sensitive
"Ruchir Kalokhe email is ruchir.kalokhe@gmail.com",sensitive
